t,u_measured
1.709999999999999964e+00,1.111129129750328515e+00
1.715000000000000080e+00,1.061185773312569136e+00
1.719999999999999973e+00,1.040533410044599982e+00
1.725000000000000089e+00,1.005372659632793209e+00
1.729999999999999982e+00,8.053398532132658438e-01
1.735000000000000098e+00,8.480392794552291669e-01
1.739999999999999991e+00,7.530584736438710181e-01
1.745000000000000107e+00,8.161290850346747394e-01
1.750000000000000000e+00,9.492583605810213099e-01
1.755000000000000115e+00,1.133805169073792030e+00
1.760000000000000009e+00,1.174427432295902518e+00
1.765000000000000124e+00,1.119047569952627441e+00
1.770000000000000018e+00,1.025599879228340283e+00
1.775000000000000133e+00,9.999621416875801305e-01
1.780000000000000027e+00,1.113470226241814798e+00
1.785000000000000142e+00,1.218922671968904581e+00
1.790000000000000036e+00,1.361353736196261321e+00
1.794999999999999929e+00,1.449120605543422702e+00
1.800000000000000044e+00,1.443475191365448884e+00
1.804999999999999938e+00,1.318770136521191683e+00
1.810000000000000053e+00,1.147832189332815833e+00
1.814999999999999947e+00,9.900999234347295230e-01
1.820000000000000062e+00,8.872226550922158728e-01
1.824999999999999956e+00,8.599165640650283660e-01
1.830000000000000071e+00,9.227006506169593836e-01
1.834999999999999964e+00,9.541944760493317190e-01
1.840000000000000080e+00,9.217333835309058365e-01
1.844999999999999973e+00,8.562714060879074163e-01
1.850000000000000089e+00,7.254726559499914407e-01
1.854999999999999982e+00,7.234550625004354529e-01
1.860000000000000098e+00,6.441314293992151940e-01
1.864999999999999991e+00,8.018487545190153831e-01
1.870000000000000107e+00,1.005607087033292713e+00
1.875000000000000000e+00,1.219673088588616894e+00
1.880000000000000115e+00,1.449227503381672610e+00
1.885000000000000009e+00,1.318428344713647338e+00
1.890000000000000124e+00,1.237407410696980792e+00
1.895000000000000018e+00,1.219291081953244316e+00
1.900000000000000133e+00,1.055023066845447444e+00
1.905000000000000027e+00,1.120357524509278724e+00
1.910000000000000142e+00,1.191168043684532218e+00
1.915000000000000036e+00,1.170005458820332134e+00
1.919999999999999929e+00,9.786776199307865021e-01
1.925000000000000044e+00,8.749196200673391433e-01
1.929999999999999938e+00,6.559603299536418408e-01
1.935000000000000053e+00,5.465392010802949674e-01
1.939999999999999947e+00,4.906979833045215234e-01
1.945000000000000062e+00,5.026323916335591058e-01
1.949999999999999956e+00,6.902652098380366308e-01
1.955000000000000071e+00,7.233569028753481511e-01
1.959999999999999964e+00,7.782137224602377890e-01
1.965000000000000080e+00,8.555193677737192859e-01
1.969999999999999973e+00,7.792434019943684786e-01
1.975000000000000089e+00,9.024798529517411572e-01
1.979999999999999982e+00,1.123251221375638931e+00
1.985000000000000098e+00,1.169032018718049182e+00
1.989999999999999991e+00,1.304645674613370776e+00
1.995000000000000107e+00,1.255666154424821102e+00
2.000000000000000000e+00,1.286798658003147411e+00
2.004999999999999893e+00,1.181413131571354969e+00
2.010000000000000231e+00,1.146224935734264649e+00
2.015000000000000124e+00,1.037866592264194976e+00
2.020000000000000018e+00,9.356745288332406485e-01
2.024999999999999911e+00,9.247456266953735238e-01
2.030000000000000249e+00,8.922127401070737429e-01
2.035000000000000142e+00,8.294557454418083342e-01
2.040000000000000036e+00,7.900515833425758583e-01
2.044999999999999929e+00,7.300838020988331678e-01
2.049999999999999822e+00,7.831415238617368546e-01
2.055000000000000160e+00,7.132490269600053612e-01
2.060000000000000053e+00,8.035342158794740453e-01
2.064999999999999947e+00,8.049566827258965995e-01
2.069999999999999840e+00,9.343708272723614261e-01
2.075000000000000178e+00,1.059948338105847876e+00
2.080000000000000071e+00,1.188183025642604695e+00
2.084999999999999964e+00,1.215641117287631356e+00
2.089999999999999858e+00,1.306047525243097640e+00
2.095000000000000195e+00,1.298686481125550296e+00
2.100000000000000089e+00,1.379139148188762043e+00
2.104999999999999982e+00,1.307494390294970721e+00
2.109999999999999876e+00,1.361191044512292336e+00
2.115000000000000213e+00,1.315443512916066204e+00
2.120000000000000107e+00,1.301872335947423354e+00
2.125000000000000000e+00,1.141801847263804071e+00
2.129999999999999893e+00,1.070724671749567092e+00
2.135000000000000231e+00,9.989956221697668948e-01
2.140000000000000124e+00,9.117535198488738724e-01
2.145000000000000018e+00,9.000784082123975960e-01
2.149999999999999911e+00,8.224110305934841936e-01
2.155000000000000249e+00,8.111652952041294995e-01
2.160000000000000142e+00,7.891047401978106279e-01
2.165000000000000036e+00,8.100379601078574465e-01
2.169999999999999929e+00,8.774982430667152000e-01
2.175000000000000266e+00,9.217199915577483083e-01
2.180000000000000160e+00,1.039397127511684227e+00
2.185000000000000053e+00,1.061176266465301055e+00
2.189999999999999947e+00,1.147389620208548067e+00
2.194999999999999840e+00,1.206984874286903153e+00
2.200000000000000178e+00,1.245005500403445264e+00
2.205000000000000071e+00,1.306560515688227175e+00
2.209999999999999964e+00,1.258031706369989511e+00
2.214999999999999858e+00,1.102312522537141071e+00
2.220000000000000195e+00,1.139605063859922884e+00
2.225000000000000089e+00,1.038222509877384514e+00
2.229999999999999982e+00,8.853060363334691596e-01
2.234999999999999876e+00,1.031214893578886516e+00
2.240000000000000213e+00,8.935940540757394412e-01
2.245000000000000107e+00,8.514002788245073061e-01
2.250000000000000000e+00,7.499623656417282458e-01
2.254999999999999893e+00,7.078979820827987490e-01
2.260000000000000231e+00,6.916294525380805025e-01
2.265000000000000124e+00,6.462244575262683366e-01
2.270000000000000018e+00,7.655768230949625552e-01
2.274999999999999911e+00,1.019738463600178502e+00
2.280000000000000249e+00,1.028756458534354712e+00
2.285000000000000142e+00,1.071983953743266049e+00
2.290000000000000036e+00,1.027479470913378545e+00
2.294999999999999929e+00,1.061654576714681664e+00
2.300000000000000266e+00,1.074644976527446394e+00
2.305000000000000160e+00,1.118155304144406781e+00
2.310000000000000053e+00,1.237934431392148760e+00
2.314999999999999947e+00,1.269610104071019485e+00
2.319999999999999840e+00,1.287204736075020950e+00
2.325000000000000178e+00,1.248049466572522137e+00
2.330000000000000071e+00,1.111394318332047382e+00
2.334999999999999964e+00,1.071986926461454326e+00
2.339999999999999858e+00,8.935418392898698547e-01
2.345000000000000195e+00,7.345128687125326294e-01
2.350000000000000089e+00,8.542850108392091579e-01
2.354999999999999982e+00,8.381486663397460513e-01
2.359999999999999876e+00,9.684989125160969881e-01
2.365000000000000213e+00,9.488462728412320191e-01
2.370000000000000107e+00,8.871684037628049246e-01
2.375000000000000000e+00,6.952905772964674824e-01
2.379999999999999893e+00,7.842267098657413893e-01
2.385000000000000231e+00,7.756096507569172349e-01
2.390000000000000124e+00,8.956446222944671742e-01
2.395000000000000018e+00,1.053285101524978895e+00
2.399999999999999911e+00,1.154943157947255994e+00
2.405000000000000249e+00,1.212722775491099192e+00
2.410000000000000142e+00,1.268603760045413420e+00
2.415000000000000036e+00,1.137254141618924796e+00
2.419999999999999929e+00,1.074201679602482251e+00
2.425000000000000266e+00,1.040551648837221954e+00
2.430000000000000160e+00,1.056257859692635970e+00
2.435000000000000053e+00,1.017700176323252492e+00
2.439999999999999947e+00,1.034342937188877709e+00
2.444999999999999840e+00,9.462903465520153823e-01
2.450000000000000178e+00,9.443505969645398235e-01
2.455000000000000071e+00,7.675332724447065935e-01
2.459999999999999964e+00,6.588324929630193783e-01
2.464999999999999858e+00,6.899883934831354537e-01
2.470000000000000195e+00,6.990473124407374783e-01
2.475000000000000089e+00,7.289058191674278042e-01
2.479999999999999982e+00,8.108619377179699939e-01
2.484999999999999876e+00,8.897937376563191947e-01
2.490000000000000213e+00,8.496661048064566568e-01
2.495000000000000107e+00,9.568582072088385182e-01
2.500000000000000000e+00,9.742338240852239650e-01
2.504999999999999893e+00,9.739564146379180443e-01
2.510000000000000231e+00,9.906954054070487015e-01
2.515000000000000124e+00,1.072174267101085210e+00
2.520000000000000018e+00,1.117417403749066951e+00
2.524999999999999911e+00,1.103190549914078389e+00
2.530000000000000249e+00,1.046735556419625901e+00
2.535000000000000142e+00,9.814780015235630151e-01
2.540000000000000036e+00,9.845159527774112185e-01
2.544999999999999929e+00,8.787195288535689652e-01
2.550000000000000266e+00,9.391044029083029931e-01
2.555000000000000160e+00,8.897812756780010268e-01
2.560000000000000053e+00,8.770978040538576215e-01
2.564999999999999947e+00,9.520699100508683843e-01
2.569999999999999840e+00,9.374014464400416413e-01
2.575000000000000178e+00,1.013645462150047694e+00
2.580000000000000071e+00,1.124649839878517188e+00
2.584999999999999964e+00,1.086926128124582780e+00
2.589999999999999858e+00,1.104754352536751361e+00
2.595000000000000195e+00,1.067294129711629180e+00
2.600000000000000089e+00,1.179193414561245712e+00
2.604999999999999982e+00,1.212155689464075259e+00
2.609999999999999876e+00,1.240074627666128304e+00
2.615000000000000213e+00,1.249860393857554763e+00
2.620000000000000107e+00,1.261725655049689365e+00
2.625000000000000000e+00,1.220995870904924896e+00
2.629999999999999893e+00,1.145625390636240803e+00
2.635000000000000231e+00,1.070419438123044964e+00
2.640000000000000124e+00,1.109298407434643696e+00
2.645000000000000018e+00,1.127174881403282702e+00
2.649999999999999911e+00,1.200492956779054099e+00
2.655000000000000249e+00,1.175931234794963753e+00
2.660000000000000142e+00,1.192508046185593029e+00
2.665000000000000036e+00,1.154372525766000912e+00
2.669999999999999929e+00,1.123619980616090253e+00
2.675000000000000266e+00,1.127864377725573464e+00
2.680000000000000160e+00,1.114740603287601717e+00
2.685000000000000053e+00,1.130958427022699997e+00
2.689999999999999947e+00,1.093148752378850341e+00
2.694999999999999840e+00,1.174715935526764010e+00
2.700000000000000178e+00,1.076913992389024521e+00
2.705000000000000071e+00,1.021598513756502680e+00
2.709999999999999964e+00,9.287211447716304802e-01
2.714999999999999858e+00,9.252458172231140532e-01
2.720000000000000195e+00,9.378267593431841576e-01
2.725000000000000089e+00,9.115723434996408914e-01
2.729999999999999982e+00,1.088045504228703608e+00
2.734999999999999876e+00,9.664631273065462658e-01
2.740000000000000213e+00,9.611508046854262410e-01
2.745000000000000107e+00,9.942405669535699930e-01
2.750000000000000000e+00,1.056111297981077390e+00
2.754999999999999893e+00,9.782190406171643593e-01
2.760000000000000231e+00,9.794284944467692711e-01
2.765000000000000124e+00,9.069656288460471449e-01
2.770000000000000018e+00,8.953698736245457868e-01
2.774999999999999911e+00,8.419276701938974705e-01
